City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Tuktoyaktuk,AU,-35.2813,149.1292,292.62,67,90,4.12
92,Lata,AU,-35.2813,149.1292,292.62,66,100,4.12
93,Port Elizabeth,AU,-35.2813,149.1292,292.62,67,90,4.12
94,Hatillo,AU,-35.2813,149.1292,292.29,67,100,4.12
95,Cape Town,AU,-35.2813,149.1292,292.62,67,90,4.12
96,Atuona,AU,-35.2813,149.1292,292.62,66,100,4.12
97,Vestmannaeyjar,AU,-35.2813,149.1292,292.29,67,100,4.12
98,Pokhara,AU,-35.2813,149.1292,292.62,66,100,4.12
99,Jamestown,AU,-35.2813,149.1292,292.29,67,100,4.12
100,Airai,AU,-35.2813,149.1292,292.62,67,90,4.12
101,Bengkulu,AU,-35.2813,149.1292,292.29,67,100,4.12
102,Clyde River,AU,-35.2813,149.1292,292.62,67,90,4.12
103,Zhob,AU,-35.2813,149.1292,292.62,66,100,4.12
104,Podporozhye,AU,-35.2813,149.1292,292.29,67,100,4.12
105,Bluff,AU,-35.2813,149.1292,292.29,67,100,4.12
106,Taolanaro,AU,-35.2813,149.1292,292.29,67,100,4.12
107,Samusu,AU,-35.2813,149.1292,292.62,66,100,4.12
108,Jungapeo,AU,-35.2813,149.1292,292.62,66,100,4.12
109,Pontal Do Parana,AU,-35.2813,149.1292,292.62,67,90,4.12
110,New Norfolk,AU,-35.2813,149.1292,292.29,67,100,4.12
111,Hilo,AU,-35.2813,149.1292,292.29,67,100,4.12
112,Leningradskiy,AU,-35.2813,149.1292,292.29,67,100,4.12
113,Tumannyy,AU,-35.2813,149.1292,292.29,67,100,4.12
114,Taga,AU,-35.2813,149.1292,292.62,67,90,4.12
115,Nemuro,AU,-35.2813,149.1292,292.62,66,100,4.12
116,Port Moresby,AU,-35.2813,149.1292,292.29,67,100,4.12
117,Yellowknife,AU,-35.2813,149.1292,292.29,67,100,4.12
118,Illoqqortoormiut,AU,-35.2813,149.1292,292.62,67,90,4.12
119,Puerto Ayora,AU,-35.2813,149.1292,292.29,67,100,4.12
120,Los Llanos De Aridane,AU,-35.2813,149.1292,292.29,67,100,4.12
121,Mahebourg,AU,-35.2813,149.1292,292.62,66,100,4.12
122,Khatanga,AU,-35.2813,149.1292,292.29,67,100,4.12
123,Bredasdorp,AU,-35.2813,149.1292,292.62,67,90,4.12
124,Llata,AU,-35.2813,149.1292,292.29,67,100,4.12
125,Coquimbo,AU,-35.2813,149.1292,292.62,67,90,4.12
126,Norman Wells,AU,-35.2813,149.1292,292.29,67,100,4.12
127,Dikson,AU,-35.2813,149.1292,292.62,66,100,4.12
128,Kismayo,AU,-35.2813,149.1292,292.62,67,90,4.12
